Violation Id,Primary,Violation Number,Violation Date,Violation Item,Violation Item Description,Citation Number,Corrective Action,Inspection Number,Address,Zipcode,Battalion,Station Area,Fire Prevention District,Status,Close Date,Supervisor District,Neighborhood  District,X,Y
1001-013007PER01,,1001-0130,1/15/10,07PER01,permit / general,,,,2400  San Bruno Ave,94134,10,42,10,closed,12/10/10,9,Portola,37.73215956,-122.4057501
1001-019007STO08,,1001-0190,1/26/10,07STO08,storage / no combustibles allowed,,,80818,50  08th St,94103,2,36,02S,closed,3/9/10,6,South of Market,37.77757037,-122.4142737
1001-019207PER01,,1001-0192,1/26/10,07PER01,permit / general,,obtain permit,80778,341  - 343 Surrey St,94131,6,26,6,closed,3/24/15,8,Glen Park,37.7356899,-122.4376519
1001-0192SFC,,1001-0192,1/26/10,SFC,2007 san francisco fire code,,obtain permit,80778,341  - 343 Surrey St,94131,6,26,6,closed,3/24/15,8,Glen Park,37.7356899,-122.4376519
1710-007616SPR08Y,Y,1710-0076,10/24/17,16SPR08,sprinkler / 5-year service,,,337217,295  21st Ave,94121,7,14,7,abated,11/30/17,1,Outer Richmond,37.7824521,-122.4808327
1710-025216COM01Y,Y,1710-0252,10/23/17,16COM01,fire command center features,,correct - no permit,337177,550  Montgomery St,94111,1,13,01N,abated,12/8/17,3,Chinatown,37.79438134,-122.4027947
1710-025216DOR07,,1710-0252,10/23/17,16DOR07,doors / self-closers,,correct - no permit,337177,550  Montgomery St,94111,1,13,01N,abated,12/8/17,3,Chinatown,37.79438134,-122.4027947
1710-025516ALR12Y,Y,1710-0255,10/23/17,16ALR12,alarm system maintained,,,337186,810  Silver Ave,94134,9,43,9,referred to hearing,1/23/18,9,Excelsior,37.72881365,-122.419129
1710-025516ELE05,,1710-0255,10/23/17,16ELE05,electrical / extension cords,,,337186,810  Silver Ave,94134,9,43,9,referred to hearing,1/23/18,9,Excelsior,37.72881365,-122.419129
1710-025516EXI01,,1710-0255,10/23/17,16EXI01,exits/obstructions,,,337186,810  Silver Ave,94134,9,43,9,referred to hearing,1/23/18,9,Excelsior,37.72881365,-122.419129
0506-0150339,,0506-0150,9/16/05,339,1001.5.1  exting. damaged/discharged/no tag,,,14671,39  - 41 Jones St,94102,2,1,02N,closed,11/18/05,6,Tenderloin,37.78163259,-122.4124232
0506-0150390,,0506-0150,9/16/05,390,1001.5.1  fire alarms maintained,,,14671,39  - 41 Jones St,94102,2,1,02N,closed,11/18/05,6,Tenderloin,37.78163259,-122.4124232
0506-0150426,,0506-0150,9/16/05,426,1111.2.1  fire assembly-door/damper-maintd,,,14671,39  - 41 Jones St,94102,2,1,02N,closed,11/18/05,6,Tenderloin,37.78163259,-122.4124232
0506-0150575,,0506-0150,9/16/05,575,1111.1  holes in walls/ceiling repair,,,14671,39  - 41 Jones St,94102,2,1,02N,closed,11/18/05,6,Tenderloin,37.78163259,-122.4124232
0506-0203361,,0506-0203,9/30/05,361,1001.5.1  extinguishers maintn yrly/after use,,,,3224  - 3248 22nd St,94110,6,7,6,closed,11/9/05,9,Mission,37.75552738,-122.4195523
0506-0203705,,0506-0203,9/30/05,705,105.8  operating without fd permit,,,,3224  - 3248 22nd St,94110,6,7,6,closed,11/9/05,9,Mission,37.75552738,-122.4195523
1710-025516ILL02,,1710-0255,10/23/17,16ILL02,illumination / repair emergency lighting,,,337186,810  Silver Ave,94134,9,43,9,referred to hearing,1/23/18,9,Excelsior,37.72881365,-122.419129
1710-025516SIG43,,1710-0255,10/23/17,16SIG43,signs / schools /emergency evacuation plans,,,337186,810  Silver Ave,94134,9,43,9,referred to hearing,1/23/18,9,Excelsior,37.72881365,-122.419129
1710-025516SPR08,,1710-0255,10/23/17,16SPR08,sprinkler / 5-year service,,,337186,810  Silver Ave,94134,9,43,9,referred to hearing,1/23/18,9,Excelsior,37.72881365,-122.419129
1710-0255SFC16A,,1710-0255,10/23/17,SFC16A,2016 san francisco fire code,,,337186,810  Silver Ave,94134,9,43,9,referred to hearing,1/23/18,9,Excelsior,37.72881365,-122.419129
1710-027216ALR12,,1710-0272,10/24/17,16ALR12,alarm system maintained,,,337214,501  38th Ave,94121,7,34,7,abated,11/14/17,1,Outer Richmond,37.77913368,-122.498858
1710-027216EXT04,,1710-0272,10/24/17,16EXT04,extinguisher / service required,,,337214,501  38th Ave,94121,7,34,7,abated,11/14/17,1,Outer Richmond,37.77913368,-122.498858
1710-027316DOR02,,1710-0273,10/20/17,16DOR02,doors / blocked open,,correct - no permit,337222,944  - 950 Stockton St,94108,1,2,01N,abated,12/6/17,3,Chinatown,37.79471678,-122.4078006
1710-027316ELE07,,1710-0273,10/20/17,16ELE07,electrical / hazards,,correct - no permit,337222,944  - 950 Stockton St,94108,1,2,01N,abated,12/6/17,3,Chinatown,37.79471678,-122.4078006
0508-0003340,,0508-0003,9/8/05,340,"1001.5.1  exting.-insp,empty,serv yearly t-19",,,,624  - 626 Ellis St,94109,2,3,02N,closed,12/14/05,6,Tenderloin,37.78460457,-122.4165682
0508-0003390,,0508-0003,9/8/05,390,1001.5.1  fire alarms maintained,,,,624  - 626 Ellis St,94109,2,3,02N,closed,12/14/05,6,Tenderloin,37.78460457,-122.4165682
0508-0003391,,0508-0003,9/8/05,391,sffc 1001.5.1.3  fire systems certified,,,,624  - 626 Ellis St,94109,2,3,02N,closed,12/14/05,6,Tenderloin,37.78460457,-122.4165682
0508-0003495,,0508-0003,9/8/05,495,1001.5.1.2  fire prot equip tested -5 yr spk,,,,624  - 626 Ellis St,94109,2,3,02N,closed,12/14/05,6,Tenderloin,37.78460457,-122.4165682
1710-027316KEY02,,1710-0273,10/20/17,16KEY02,keys provided per fire marshal,,correct - no permit,337222,944  - 950 Stockton St,94108,1,2,01N,abated,12/6/17,3,Chinatown,37.79471678,-122.4078006
1710-027116ALR12Y,Y,1710-0271,10/24/17,16ALR12,alarm system maintained,,,337213,2690  Great Hwy,94116,8,23,8,abated,12/21/17,4,Sunset/Parkside,37.73634833,-122.5059551
1710-027116EXI13,,1710-0271,10/24/17,16EXI13,exits/fire escapes,,,337213,2690  Great Hwy,94116,8,23,8,abated,12/21/17,4,Sunset/Parkside,37.73634833,-122.5059551
1710-027116EXT04,,1710-0271,10/24/17,16EXT04,extinguisher / service required,,,337213,2690  Great Hwy,94116,8,23,8,abated,12/21/17,4,Sunset/Parkside,37.73634833,-122.5059551
1710-027116ILL02,,1710-0271,10/24/17,16ILL02,illumination / repair emergency lighting,,,337213,2690  Great Hwy,94116,8,23,8,abated,12/21/17,4,Sunset/Parkside,37.73634833,-122.5059551
1710-027116SPR08,,1710-0271,10/24/17,16SPR08,sprinkler / 5-year service,,,337213,2690  Great Hwy,94116,8,23,8,abated,12/21/17,4,Sunset/Parkside,37.73634833,-122.5059551
1003-003307REC16,,1003-0033,3/5/10,07REC16,records / sffd binder for review for 3 years,,correct - no permit,82024,900  - 958 Bush St,94109,1,41,01W,referred to hearing,10/23/17,3,Nob Hill,37.78994512,-122.4127266
1003-003307SIG12,,1003-0033,3/5/10,07SIG12,signs / not an exit,,correct - no permit,82024,900  - 958 Bush St,94109,1,41,01W,referred to hearing,10/23/17,3,Nob Hill,37.78994512,-122.4127266
1003-003307SIG34,,1003-0033,3/5/10,07SIG34,signs / evacuation plans,,correct - no permit,82024,900  - 958 Bush St,94109,1,41,01W,referred to hearing,10/23/17,3,Nob Hill,37.78994512,-122.4127266
1003-003307SPR08Y,Y,1003-0033,3/5/10,07SPR08,sprinkler / 5-year service,,correct - no permit,82024,900  - 958 Bush St,94109,1,41,01W,referred to hearing,10/23/17,3,Nob Hill,37.78994512,-122.4127266
1003-003310STO10,,1003-0033,3/5/10,10STO10,"storage / boiler, mechanical & electric rooms",,correct - no permit,82024,900  - 958 Bush St,94109,1,41,01W,referred to hearing,10/23/17,3,Nob Hill,37.78994512,-122.4127266
1003-003313ALR12,,1003-0033,3/5/10,13ALR12,alarm system maintained,,correct - no permit,82024,900  - 958 Bush St,94109,1,41,01W,referred to hearing,10/23/17,3,Nob Hill,37.78994512,-122.4127266
1003-003313HAZ05,,1003-0033,3/5/10,13HAZ05,hazard materials/store in approved manner,,correct - no permit,82024,900  - 958 Bush St,94109,1,41,01W,referred to hearing,10/23/17,3,Nob Hill,37.78994512,-122.4127266
1003-003313HAZ06,,1003-0033,3/5/10,13HAZ06,hazard / secure/protect gas cylinders,,correct - no permit,82024,900  - 958 Bush St,94109,1,41,01W,referred to hearing,10/23/17,3,Nob Hill,37.78994512,-122.4127266
1003-003313PEN22,,1003-0033,3/5/10,13PEN22,penetrations / fire rating maintained,,correct - no permit,82024,900  - 958 Bush St,94109,1,41,01W,referred to hearing,10/23/17,3,Nob Hill,37.78994512,-122.4127266
1003-003313PER01,,1003-0033,3/5/10,13PER01,permit / general,,correct - no permit,82024,900  - 958 Bush St,94109,1,41,01W,referred to hearing,10/23/17,3,Nob Hill,37.78994512,-122.4127266
1003-003313REC16,,1003-0033,3/5/10,13REC16,records / sffd binder for review for 5 years,,correct - no permit,82024,900  - 958 Bush St,94109,1,41,01W,referred to hearing,10/23/17,3,Nob Hill,37.78994512,-122.4127266
1003-003313REC22,,1003-0033,3/5/10,13REC22,records / facility emergency plan,,correct - no permit,82024,900  - 958 Bush St,94109,1,41,01W,referred to hearing,10/23/17,3,Nob Hill,37.78994512,-122.4127266
1003-003313REC27,,1003-0033,3/5/10,13REC27,records / fire drills,,correct - no permit,82024,900  - 958 Bush St,94109,1,41,01W,referred to hearing,10/23/17,3,Nob Hill,37.78994512,-122.4127266
1003-0033SFC,,1003-0033,3/5/10,SFC,2007 san francisco fire code,,correct - no permit,82024,900  - 958 Bush St,94109,1,41,01W,referred to hearing,10/23/17,3,Nob Hill,37.78994512,-122.4127266
1003-0033SFC10,,1003-0033,3/5/10,SFC10,2010 san francisco fire code,,correct - no permit,82024,900  - 958 Bush St,94109,1,41,01W,referred to hearing,10/23/17,3,Nob Hill,37.78994512,-122.4127266
1708-040316ALR12,,1708-0403,8/31/17,16ALR12,alarm system maintained,,correct - no permit,334956,2100  Jackson St,94115,4,38,4,abated,10/20/17,2,Pacific Heights,37.79340905,-122.4299249
1708-040316REC23,,1708-0403,8/31/17,16REC23,records / fire safety director,,correct - no permit,334956,2100  Jackson St,94115,4,38,4,abated,10/20/17,2,Pacific Heights,37.79340905,-122.4299249
1708-040316REC28,,1708-0403,8/31/17,16REC28,l-license and fire pump certificate,,correct - no permit,334956,2100  Jackson St,94115,4,38,4,abated,10/20/17,2,Pacific Heights,37.79340905,-122.4299249
1708-040316REC29Y,Y,1708-0403,8/31/17,16REC29,test and maintenance documentation,,correct - no permit,334956,2100  Jackson St,94115,4,38,4,abated,10/20/17,2,Pacific Heights,37.79340905,-122.4299249
1708-040316STO16,,1708-0403,8/31/17,16STO16,storage / ceiling clearance,,correct - no permit,334956,2100  Jackson St,94115,4,38,4,abated,10/20/17,2,Pacific Heights,37.79340905,-122.4299249
1708-040316STO23,,1708-0403,8/31/17,16STO23,storage / elevator equip. rooms,,correct - no permit,334956,2100  Jackson St,94115,4,38,4,abated,10/20/17,2,Pacific Heights,37.79340905,-122.4299249
1709-012216ELE06,,1709-0122,9/12/17,16ELE06,electrical / work space/clearance,,correct - no permit,335469,800  Mission St,94103,3,1,03N,abated,10/20/17,6,South of Market,37.78453031,-122.4047162
1709-012216ELE07,,1709-0122,9/12/17,16ELE07,electrical / hazards,,correct - no permit,335469,800  Mission St,94103,3,1,03N,abated,10/20/17,6,South of Market,37.78453031,-122.4047162
1709-012216EXI02Y,Y,1709-0122,9/12/17,16EXI02,exits / storage in pathway,,correct - no permit,335469,800  Mission St,94103,3,1,03N,abated,10/20/17,6,South of Market,37.78453031,-122.4047162
1709-012216REC29,,1709-0122,9/12/17,16REC29,test and maintenance documentation,,correct - no permit,335469,800  Mission St,94103,3,1,03N,abated,10/20/17,6,South of Market,37.78453031,-122.4047162
1709-012216SPR07,,1709-0122,9/12/17,16SPR07,sprinkler / blocked control valve,,correct - no permit,335469,800  Mission St,94103,3,1,03N,abated,10/20/17,6,South of Market,37.78453031,-122.4047162
1709-012216SPR25,,1709-0122,9/12/17,16SPR25,sprinkler system maintained,,correct - no permit,335469,800  Mission St,94103,3,1,03N,abated,10/20/17,6,South of Market,37.78453031,-122.4047162
1709-012216STO16,,1709-0122,9/12/17,16STO16,storage / ceiling clearance,,correct - no permit,335469,800  Mission St,94103,3,1,03N,abated,10/20/17,6,South of Market,37.78453031,-122.4047162
0511-0050SFC,,0511-0050,12/15/05,SFC,2007 san francisco fire code,,,16223,2263  Bryant St,94110,6,7,6,closed,3/27/09,9,Mission,37.7582353,-122.4095111
0511-0087390,,0511-0087,12/9/05,390,1001.5.1  fire alarms maintained,,correct - no permit,16152,295  - 299 Guerrero St,94103,2,6,02S,closed,11/10/06,8,Mission,37.76660097,-122.4240817
0511-0087391,,0511-0087,12/9/05,391,sffc 1001.5.1.3  fire systems certified,,correct - no permit,16152,295  - 299 Guerrero St,94103,2,6,02S,closed,11/10/06,8,Mission,37.76660097,-122.4240817
0603-0180391,,0603-0180,4/7/06,391,sffc 1001.5.1.3  fire systems certified,,,23005,577  Castro St,94114,6,6,6,closed,3/3/07,8,Castro/Upper Market,37.7596726,-122.4345257
1710-027616ALR12Y,Y,1710-0276,10/24/17,16ALR12,alarm system maintained,,correct - no permit,337241,400  Sansome St,94111,1,13,01N,referred to hearing,11/1/17,3,Chinatown,37.79428948,-122.4007848
1710-027616ILL16,,1710-0276,10/24/17,16ILL16,illumination / emergency power required,,correct - no permit,337241,400  Sansome St,94111,1,13,01N,referred to hearing,11/1/17,3,Chinatown,37.79428948,-122.4007848
1710-028316REC20Y,Y,1710-0283,10/25/17,16REC20,records / ul certificate,,,337289,225  Fell St,94102,2,36,02N,abated,11/9/17,5,Hayes Valley,37.77584794,-122.4215373
1710-028316SPR08,,1710-0283,10/25/17,16SPR08,sprinkler / 5-year service,,,337289,225  Fell St,94102,2,36,02N,abated,11/9/17,5,Hayes Valley,37.77584794,-122.4215373
1710-028416ALR12,,1710-0284,10/25/17,16ALR12,alarm system maintained,,,337290,243  - 249 Oak St,94102,2,36,02N,abated,11/20/17,5,Hayes Valley,37.77466416,-122.4233215
1710-028416SIG25,,1710-0284,10/25/17,16SIG25,signs / address numbers,,,337290,243  - 249 Oak St,94102,2,36,02N,abated,11/20/17,5,Hayes Valley,37.77466416,-122.4233215
1710-028416SPR08,,1710-0284,10/25/17,16SPR08,sprinkler / 5-year service,,,337290,243  - 249 Oak St,94102,2,36,02N,abated,11/20/17,5,Hayes Valley,37.77466416,-122.4233215
1710-028416SPR25Y,Y,1710-0284,10/25/17,16SPR25,sprinkler system maintained,,,337290,243  - 249 Oak St,94102,2,36,02N,abated,11/20/17,5,Hayes Valley,37.77466416,-122.4233215
1710-028616REC28,,1710-0286,10/24/17,16REC28,l-license and fire pump certificate,,correct - no permit,337300,120  Howard St,94105,3,35,03N,abated,11/30/17,6,Financial District/South Beach,37.79135184,-122.3931104
1710-028616REC29,,1710-0286,10/24/17,16REC29,test and maintenance documentation,,correct - no permit,337300,120  Howard St,94105,3,35,03N,abated,11/30/17,6,Financial District/South Beach,37.79135184,-122.3931104
1710-028616SPR08Y,Y,1710-0286,10/24/17,16SPR08,sprinkler / 5-year service,,correct - no permit,337300,120  Howard St,94105,3,35,03N,abated,11/30/17,6,Financial District/South Beach,37.79135184,-122.3931104
1710-028516COM01Y,Y,1710-0285,10/25/17,16COM01,fire command center features,,correct - no permit,337292,400  Sansome St,94111,1,13,01N,referred to hearing,12/14/17,3,Chinatown,37.79428948,-122.4007848
1710-028516EXT28,,1710-0285,10/25/17,16EXT28,aes forms,,correct - no permit,337292,400  Sansome St,94111,1,13,01N,referred to hearing,12/14/17,3,Chinatown,37.79428948,-122.4007848
1710-028516PEN02,,1710-0285,10/25/17,16PEN02,"penetrations/corridor walls, ceilings",,correct - no permit,337292,400  Sansome St,94111,1,13,01N,referred to hearing,12/14/17,3,Chinatown,37.79428948,-122.4007848
1710-028516REC29,,1710-0285,10/25/17,16REC29,test and maintenance documentation,,correct - no permit,337292,400  Sansome St,94111,1,13,01N,referred to hearing,12/14/17,3,Chinatown,37.79428948,-122.4007848
1707-0218SFC16AY,Y,1707-0218,10/24/17,SFC16A,2016 san francisco fire code,,,337310,1955  34th Ave,94116,8,18,8,abated,2/2/18,4,Sunset/Parkside,37.75061708,-122.4926719
